"country","category","year","emissions","pop","gdp","lgdp","lpop","lemissions","const","lgdp_sq","emissions_pc","lemissions_pc"
"SE23","Agriculture",2002,1450.5316714836,1777510,54155.13,10.899607984784,14.3907240665228,7.2796854381963,1,118.801454221967,0.000816046982286232,-7.11103862832645
"SE23","Agriculture",2003,1425.5090138491,1786781,57985.95,10.9679560188041,14.3959262348688,7.26228423162218,1,120.29605923042,0.000797808468888521,-7.13364200324658
"SE23","Agriculture",2004,1426.3571857184,1796314,59427.65,10.9925148852602,14.4012473455249,7.26287905047759,1,120.835383502667,0.000794046689898537,-7.13836829504733
"SE23","Agriculture",2005,1413.1856821517,1805683,60462.72,11.0097822557436,14.4064494715282,7.25360178392482,1,121.215305318887,0.000782632212936435,-7.15284768760339
"SE23","Agriculture",2006,1400.3222476426,1814323,65511.87,11.0899866265788,14.4112229533434,7.24445766600429,1,122.987803377696,0.000771815298401993,-7.16676528733915
"SE23","Agriculture",2007,1391.5546159521,1827143,68869.84,11.1399736253184,14.4182641026858,7.23817682989178,1,124.099012372789,0.000761601372170706,-7.18008727279401
"SE23","Agriculture",2008,1375.8431393753,1838691,68999.09,11.1418485950866,14.4245644633673,7.22682201444805,1,124.140790115834,0.000748273167908746,-7.1977424489193
"SE23","Agriculture",2009,1344.6510905489,1851702,60040.87,11.0027807759822,14.4316157741139,7.20388984615147,1,121.061184804323,0.000726170350601177,-7.22772592796243
"SE23","Agriculture",2010,1358.0023658397,1866283,71015.64,11.1706554134551,14.4394593101976,7.21377005026712,1,124.783542366155,0.000727650825646325,-7.2256892599305
"SE23","Agriculture",2011,1341.7994661348,1879781,78497.56,11.2708228204849,14.446665838659,7.2017668772563,1,127.031447050763,0.00071380627112137,-7.24489896140272
"SE23","Agriculture",2012,1319.7178261649,1892328,81228.61,11.3050228039941,14.4533183750908,7.18517322467187,1,127.803540598827,0.000697404375015801,-7.26814515041891
"SE23","Agriculture",2013,1314.047101896,1904563,83839.82,11.336663352606,14.4597631439021,7.18086704459388,1,128.51993597032,0.000689946776187503,-7.27889609930824
"SE23","Agriculture",2014,1338.6313036126,1921924,83509.13,11.332711246179,14.468837325587,7.19940295573048,1,128.430344189272,0.000696505847063984,-7.26943436985649
"SE23","Agriculture",2015,1328.075982522,1942677,88358.6,11.3891588131351,14.4795774767639,7.19148654415414,1,129.712938470813,0.000683631907168304,-7.28809093260977
"SE23","Agriculture",2016,1296.6912683459,1963466,90916.78,11.4176998615892,14.490221836833,7.1675711207818,1,130.363870129334,0.000660409331430185,-7.32265071605116
"SE23","Agriculture",2017,1341.7514811621,1992116,94243.2,11.4536339541663,14.5047079483629,7.20173111495952,1,131.185730756031,0.000673530798990671,-7.30297683340342
"SE23","Agriculture",2018,1317.8498423379,2015607,91078.92,11.4194816623999,14.5164309486938,7.18375678014867,1,130.404561437887,0.000653822814833398,-7.33267416854517
"SE23","Agriculture",2019,1309.0127825823,2039166,92036.49,11.4299404078289,14.5280514586999,7.17702853101295,1,130.64353772652,0.000641935370922377,-7.35102292768692
"SE23","Agriculture",2020,1304.8430200808,2059729,91160.23,11.4203740063929,14.5380849787138,7.17383802139541,1,130.424942445894,0.000633502281164561,-7.36424695731839
"SE23","Agriculture",2021,1294.396460927,2071191,101339.68,11.5262333213379,14.543634362103,7.1657998121588,1,132.854054577921,0.000624952725715301,-7.37783454994415
"SE23","Buildings",2000,1546.1076444639,1762246,54257.54,10.9014972479201,14.382099689808,7.34349585444915,1,118.84264224641,0.000877350633489252,-7.03860383535889
"SE23","Buildings",2001,1538.8622029188,1769645,52219.05,10.8632026498241,14.3862895194624,7.33879859306531,1,118.009171811146,0.000869588082874701,-7.04749092639711
"SE23","Buildings",2002,1505.7327830441,1777510,54155.13,10.899607984784,14.3907240665228,7.31703495771873,1,118.801454221967,0.000847102285244021,-7.07368910880402
"SE23","Buildings",2003,1519.5640505622,1786781,57985.95,10.9679560188041,14.3959262348688,7.32617876386214,1,120.29605923042,0.000850447844790268,-7.06974747100661
"SE23","Buildings",2004,1203.6118474315,1796314,59427.65,10.9925148852602,14.4012473455249,7.09308218803704,1,120.835383502667,0.000670045352556123,-7.30816515748788
"SE23","Buildings",2005,1231.3555167376,1805683,60462.72,11.0097822557436,14.4064494715282,7.11587088768754,1,121.215305318887,0.000681933382956809,-7.29057858384067
"SE23","Buildings",2006,1046.5699314411,1814323,65511.87,11.0899866265788,14.4112229533434,6.95327336377296,1,122.987803377696,0.000576837713814519,-7.45794958957047
"SE23","Buildings",2007,1017.5915645388,1827143,68869.84,11.1399736253184,14.4182641026858,6.92519390298664,1,124.099012372789,0.000556930445257323,-7.49307019969915
"SE23","Buildings",2008,921.07969619564,1838691,68999.09,11.1418485950866,14.4245644633673,6.82554656475443,1,124.140790115834,0.000500943168915081,-7.59901789861292
"SE23","Buildings",2009,845.90341316707,1851702,60040.87,11.0027807759822,14.4316157741139,6.74040518425522,1,121.061184804323,0.000456824809373792,-7.69121058985868
