"country","year","gdp","pop","category","emissions","lgdp","lpop","lemissions","const","lgdp_sq","emissions_pc","lemissions_pc"
"Greece",2008,265077289564.136,11077841,"2.G",0.0194996,26.3032872791411,16.2204573647009,-3.93736132644334,1,691.862921689025,1.76023468832961e-09,-20.1578186911443
"Greece",2009,253677021313.194,11107017,"2.B",1e-06,26.2593277252012,16.2230876287144,-13.8155105579643,1,689.552292579521,9.00331745238168e-14,-30.0385981866787
"Greece",2009,253677021313.194,11107017,"2.C",0.03884882,26.2593277252012,16.2230876287144,-3.24807757586013,1,689.552292579521,3.49768259110434e-09,-19.4711652045745
"Greece",2009,253677021313.194,11107017,"2.F",3.165318347,26.2593277252012,16.2230876287144,1.15225363410825,1,689.552292579521,2.8498365915889e-07,-15.0708339946061
"Greece",2009,253677021313.194,11107017,"2.G",0.01562455,26.2593277252012,16.2230876287144,-4.1589118837744,1,689.552292579521,1.4067278370061e-09,-20.3819995124888
"Greece",2010,239780041723.274,11121341,"2.B",1e-06,26.2029878472324,16.2243764330411,-13.8155105579643,1,686.596572122208,8.99172141201317e-14,-30.0398869910053
"Greece",2010,239780041723.274,11121341,"2.C",0.032510097,26.2029878472324,16.2243764330411,-3.42620456097345,1,686.596572122208,2.92321735301525e-09,-19.6505809940145
"Greece",2010,239780041723.274,11121341,"2.F",3.362389087,26.2029878472324,16.2243764330411,1.21265175910512,1,686.596572122208,3.02336659490973e-07,-15.011724673936
"Greece",2010,239780041723.274,11121341,"2.G",0.01566155,26.2029878472324,16.2243764330411,-4.15654661502887,1,686.596572122208,1.40824294480315e-09,-20.3809230480699
"Greece",2011,215444010389.589,11104899,"2.B",1e-06,26.0959669001558,16.2228969202671,-13.8155105579643,1,680.999488454025,9.00503462480838e-14,-30.0384074782313
"Greece",2011,215444010389.589,11104899,"2.C",0.035983946,26.0959669001558,16.2228969202671,-3.32468238443327,1,680.999488454025,3.24036679667235e-09,-19.5475793047003
"Greece",2011,215444010389.589,11104899,"2.F",3.510213653,26.0959669001558,16.2228969202671,1.25567690542585,1,680.999488454025,3.16095954857401e-07,-14.9672200148412
